,no2poly_m3_h,fe_m3_h,ts_mg_L,no2con_hz,no2conp_hz,feed_m3_h,dehydro_hz,screw_mm,no1poly_m3_h,con_pre_mpa
271,0.05,22.099999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
272,0.05,22.199999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
273,0.05,22.299999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
274,0.05,22.399999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
275,0.05,22.49999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
276,0.05,22.599999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
277,0.05,22.699999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
278,0.05,22.799999999999972,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
279,0.05,22.89999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
280,0.05,22.99999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
281,0.05,23.099999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
282,0.05,23.19999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
283,0.05,23.29999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
284,0.05,23.39999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
285,0.05,23.49999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
286,0.05,23.59999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
287,0.05,23.699999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
288,0.05,23.79999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
289,0.05,23.89999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
290,0.05,23.999999999999968,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
291,0.05,24.099999999999966,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
292,0.05,24.199999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
293,0.05,24.29999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
294,0.05,24.399999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
295,0.05,24.499999999999964,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
296,0.05,24.599999999999966,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
297,0.05,24.699999999999967,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
298,0.05,24.799999999999965,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
299,0.05,24.899999999999963,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
300,0.07500000000000001,15.0,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
301,0.07500000000000001,15.1,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
